V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180
0.0,0.0,0.6956521739130435,0.13043478260869565,1.5,3.0869565217391304,2.108695652173913,1.4565217391304348,0.41304347826086957,0.5652173913043478,0.043478260869565216,4.913043478260869,0.6086956521739131,0.41304347826086957,0.0,2.0,0.41304347826086957,1.9565217391304348,0.021739130434782608,1.173913043478261,0.2608695652173913,0.13043478260869565,0.10869565217391304,0.06521739130434782,3.260869565217391,0.15217391304347827,0.34782608695652173,1.2608695652173914,1.3478260869565217,0.1956521739130435,2.391304347826087,0.4782608695652174,0.021739130434782608,0.2826086956521739,1.2173913043478262,6.630434782608695,2.0869565217391304,0.10869565217391304,0.2608695652173913,0.021739130434782608,0.6739130434782609,0.06521739130434782,0.391304347826087,0.1956521739130435,0.5217391304347826,4.608695652173913,0.2608695652173913,0.021739130434782608,6.478260869565218,0.782608695652174,0.5869565217391305,0.21739130434782608,0.1956521739130435,3.5652173913043477,1.0434782608695652,0.6956521739130435,0.08695652173913043,0.13043478260869565,1.0,2.8043478260869565,4.804347826086956,2.739130434782609,5.869565217391305,0.7391304347826086,0.8043478260869565,0.06521739130434782,0.6304347826086957,2.0217391304347827,2.9565217391304346,0.8913043478260869,1.2173913043478262,5.478260869565218,0.08695652173913043,1.1521739130434783,0.9347826086956522,0.8478260869565217,0.043478260869565216,0.9347826086956522,0.43478260869565216,0.2391304347826087,0.06521739130434782,1.673913043478261,0.13043478260869565,0.9565217391304348,0.0,0.06521739130434782,0.043478260869565216,0.08695652173913043,1.1304347826086956,0.0,0.1956521739130435,3.0652173913043477,0.4782608695652174,0.717391304347826,1.108695652173913,1.673913043478261,0.043478260869565216,0.8913043478260869,0.9347826086956522,1.0,0.8043478260869565,1.9565217391304348,1.108695652173913,7.934782608695652,1.0,0.9565217391304348,0.21739130434782608,0.8695652173913043,0.43478260869565216,0.2608695652173913,2.869565217391304,0.43478260869565216,0.717391304347826,1.5869565217391304,0.782608695652174,2.4347826086956523,1.5434782608695652,0.3695652173913043,1.4782608695652173,1.7826086956521738,0.0,1.0869565217391304,0.0,1.0217391304347827,0.5869565217391305,0.6086956521739131,0.41304347826086957,0.0,1.9782608695652173,0.32608695652173914,0.34782608695652173,2.0,0.6086956521739131,1.5434782608695652,0.6086956521739131,2.217391304347826,1.0217391304347827,0.3695652173913043,0.6521739130434783,0.043478260869565216,0.21739130434782608,1.9782608695652173,0.2608695652173913,0.021739130434782608,1.8695652173913044,0.06521739130434782,2.5652173913043477,0.17391304347826086,0.10869565217391304,9.73913043478261,10.41304347826087,17.043478260869566,7.695652173913044,3.0,4.869565217391305,0.8260869565217391,2.391304347826087,8.717391304347826,4.586956521739131,6.195652173913044,1.7826086956521738,0.45652173913043476,1.7173913043478262,5.239130434782608,2.891304347826087,1.565217391304348,2.0652173913043477,1.0869565217391304,0.782608695652174,3.782608695652174,2.5,1.5869565217391304,0.6956521739130435,1.1304347826086956,0.0,3.152173913043478,0.41304347826086957,0.7608695652173914,0.9347826086956522,0.8260869565217391
0.0,0.25,0.0,0.14285714285714285,3.0,6.285714285714286,3.5714285714285716,0.42857142857142855,0.5714285714285714,1.1428571428571428,0.0,6.285714285714286,0.7142857142857143,0.14285714285714285,0.0,2.2857142857142856,0.0,2.4285714285714284,0.0,2.4285714285714284,0.0,0.0,0.7142857142857143,0.5714285714285714,5.428571428571429,0.2857142857142857,0.0,3.0,0.8571428571428571,0.14285714285714285,4.571428571428571,0.0,0.0,0.2857142857142857,1.4285714285714286,3.142857142857143,1.5714285714285714,0.0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0,0.7142857142857143,0.2857142857142857,4.142857142857143,0.2857142857142857,0.0,12.142857142857142,0.14285714285714285,0.5714285714285714,0.0,0.42857142857142855,3.0,1.7142857142857142,1.7142857142857142,0.0,0.2857142857142857,1.8571428571428572,3.142857142857143,5.571428571428571,3.857142857142857,7.857142857142857,1.7142857142857142,1.5714285714285714,0.0,0.42857142857142855,1.2857142857142858,3.142857142857143,1.5714285714285714,1.0,8.428571428571429,0.0,1.7142857142857142,1.4285714285714286,0.2857142857142857,0.0,1.1428571428571428,1.5714285714285714,0.0,0.7142857142857143,0.7142857142857143,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0,0.0,1.8571428571428572,0.0,0.0,1.0,0.2857142857142857,0.8571428571428571,0.8571428571428571,3.2857142857142856,0.0,1.0,0.5714285714285714,0.7142857142857143,0.14285714285714285,1.5714285714285714,0.14285714285714285,3.5714285714285716,2.2857142857142856,1.2857142857142858,0.2857142857142857,1.0,0.2857142857142857,0.5714285714285714,1.5714285714285714,0.7142857142857143,0.8571428571428571,2.0,1.8571428571428572,2.5714285714285716,0.5714285714285714,0.42857142857142855,1.2857142857142858,1.7142857142857142,0.0,0.7142857142857143,0.0,0.8571428571428571,1.1428571428571428,0.14285714285714285,0.14285714285714285,0.0,2.5714285714285716,0.2857142857142857,0.0,3.7142857142857144,0.7142857142857143,0.42857142857142855,1.0,3.0,0.2857142857142857,0.5714285714285714,0.7142857142857143,0.14285714285714285,0.0,3.857142857142857,0.14285714285714285,0.0,4.571428571428571,0.0,4.714285714285714,0.5714285714285714,0.0,9.714285714285714,10.142857142857142,9.857142857142858,11.714285714285714,3.857142857142857,7.714285714285714,1.4285714285714286,2.857142857142857,7.428571428571429,4.0,7.857142857142857,4.714285714285714,0.7142857142857143,0.42857142857142855,7.714285714285714,1.5714285714285714,1.7142857142857142,5.0,3.0,1.0,1.4285714285714286,2.142857142857143,0.8571428571428571,1.0,4.714285714285714,0.0,2.5714285714285716,0.0,1.7142857142857142,1.7142857142857142,0.2857142857142857
0.0,0.5,0.34782608695652173,0.34782608695652173,1.7826086956521738,5.695652173913044,2.0,0.391304347826087,0.21739130434782608,0.391304347826087,0.043478260869565216,5.608695652173913,0.5217391304347826,0.5217391304347826,0.0,1.7391304347826086,0.13043478260869565,1.6521739130434783,0.0,1.608695652173913,0.08695652173913043,0.13043478260869565,0.9130434782608695,0.0,4.869565217391305,0.17391304347826086,0.043478260869565216,2.217391304347826,0.8260869565217391,0.2608695652173913,3.0434782608695654,0.391304347826087,0.0,0.43478260869565216,1.0,2.652173913043478,1.2608695652173914,0.17391304347826086,0.13043478260869565,0.043478260869565216,0.7391304347826086,0.043478260869565216,0.08695652173913043,0.21739130434782608,0.5217391304347826,3.8260869565217392,0.043478260869565216,0.0,10.521739130434783,0.391304347826087,0.43478260869565216,0.17391304347826086,0.34782608695652173,3.1739130434782608,2.4782608695652173,1.826086956521739,0.0,0.2608695652173913,1.7391304347826086,2.4782608695652173,4.6521739130434785,2.0,6.956521739130435,2.0,1.391304347826087,0.0,0.6956521739130435,1.0869565217391304,2.391304347826087,1.6956521739130435,1.0434782608695652,6.217391304347826,0.30434782608695654,1.3043478260869565,1.3043478260869565,0.6086956521739131,0.043478260869565216,0.6521739130434783,1.7391304347826086,0.08695652173913043,0.34782608695652173,1.2608695652173914,0.043478260869565216,0.9130434782608695,0.0,0.21739130434782608,0.13043478260869565,0.043478260869565216,1.5217391304347827,0.0,0.0,2.5217391304347827,0.7391304347826086,0.782608695652174,1.0869565217391304,1.7391304347826086,0.0,0.5217391304347826,0.6956521739130435,1.1304347826086956,0.5652173913043478,1.565217391304348,0.8695652173913043,3.4782608695652173,1.434782608695652,1.6956521739130435,0.21739130434782608,0.13043478260869565,0.13043478260869565,0.30434782608695654,1.9565217391304348,0.9565217391304348,0.43478260869565216,1.608695652173913,1.173913043478261,2.0869565217391304,1.3043478260869565,0.6521739130434783,1.6521739130434783,1.4782608695652173,0.0,0.2608695652173913,0.0,0.43478260869565216,0.6521739130434783,0.2608695652173913,0.13043478260869565,0.0,2.3043478260869565,0.2608695652173913,0.2608695652173913,2.391304347826087,1.0434782608695652,0.7391304347826086,0.9565217391304348,3.217391304347826,0.43478260869565216,0.34782608695652173,1.1304347826086956,0.21739130434782608,0.0,2.9130434782608696,0.30434782608695654,0.0,2.739130434782609,0.043478260869565216,3.347826086956522,0.782608695652174,0.2608695652173913,9.91304347826087,11.26086956521739,12.869565217391305,6.869565217391305,2.8260869565217392,5.6521739130434785,0.9565217391304348,2.6956521739130435,10.347826086956522,5.043478260869565,6.3478260869565215,3.1739130434782608,1.3043478260869565,2.652173913043478,6.173913043478261,2.0869565217391304,2.8260869565217392,4.304347826086956,1.3043478260869565,2.347826086956522,2.4782608695652173,3.0869565217391304,1.2173913043478262,0.9130434782608695,0.8260869565217391,0.043478260869565216,2.130434782608696,0.043478260869565216,0.5652173913043478,0.43478260869565216,0.30434782608695654
0.0,1.0,0.6190476190476191,0.09523809523809523,2.380952380952381,8.80952380952381,2.5238095238095237,0.6666666666666666,0.47619047619047616,0.7142857142857143,0.23809523809523808,6.0476190476190474,0.38095238095238093,0.42857142857142855,0.0,1.2380952380952381,0.2857142857142857,1.8095238095238095,0.0,1.8095238095238095,0.19047619047619047,0.09523809523809523,0.7619047619047619,0.047619047619047616,4.666666666666667,0.38095238095238093,0.0,3.8095238095238093,0.9047619047619048,0.14285714285714285,5.0476190476190474,0.38095238095238093,0.09523809523809523,0.2857142857142857,0.6190476190476191,4.428571428571429,0.9047619047619048,0.09523809523809523,0.5238095238095238,0.047619047619047616,0.38095238095238093,0.0,0.09523809523809523,0.14285714285714285,0.47619047619047616,4.666666666666667,0.19047619047619047,0.047619047619047616,13.142857142857142,0.42857142857142855,0.14285714285714285,0.19047619047619047,0.14285714285714285,2.8095238095238093,3.0952380952380953,1.8095238095238095,0.047619047619047616,0.19047619047619047,1.9047619047619047,2.4285714285714284,4.238095238095238,2.1904761904761907,7.761904761904762,2.4761904761904763,1.4761904761904763,0.047619047619047616,0.8095238095238095,1.0,2.9047619047619047,1.5238095238095237,1.0952380952380953,7.809523809523809,0.2857142857142857,1.380952380952381,1.0476190476190477,0.47619047619047616,0.047619047619047616,1.1428571428571428,2.2857142857142856,0.14285714285714285,0.5238095238095238,1.2380952380952381,0.09523809523809523,0.47619047619047616,0.0,0.047619047619047616,0.2857142857142857,0.0,1.4285714285714286,0.0,0.0,2.380952380952381,0.8095238095238095,0.6190476190476191,1.2857142857142858,2.1904761904761907,0.0,0.8095238095238095,0.5238095238095238,0.9523809523809523,0.47619047619047616,1.9047619047619047,0.8571428571428571,4.095238095238095,2.238095238095238,1.4285714285714286,0.23809523809523808,0.3333333333333333,0.2857142857142857,0.23809523809523808,2.142857142857143,0.6190476190476191,0.3333333333333333,1.9047619047619047,1.1428571428571428,2.238095238095238,1.1428571428571428,0.19047619047619047,1.8095238095238095,1.5238095238095237,0.0,0.3333333333333333,0.09523809523809523,0.09523809523809523,0.7142857142857143,0.3333333333333333,0.09523809523809523,0.0,1.8095238095238095,0.3333333333333333,0.3333333333333333,3.761904761904762,0.9523809523809523,0.9523809523809523,1.4285714285714286,3.761904761904762,0.5714285714285714,0.23809523809523808,1.2380952380952381,0.38095238095238093,0.09523809523809523,3.3333333333333335,0.19047619047619047,0.0,4.857142857142857,0.0,4.428571428571429,0.42857142857142855,0.23809523809523808,10.904761904761905,11.952380952380953,12.333333333333334,7.809523809523809,3.2857142857142856,4.9523809523809526,0.7142857142857143,2.7142857142857144,9.476190476190476,4.571428571428571,7.0476190476190474,3.142857142857143,1.380952380952381,1.5714285714285714,6.095238095238095,1.8571428571428572,2.0,5.380952380952381,0.5238095238095238,1.1904761904761905,2.619047619047619,2.761904761904762,1.5714285714285714,0.6190476190476191,0.9523809523809523,0.047619047619047616,3.1904761904761907,0.5238095238095238,0.6190476190476191,0.23809523809523808,0.5714285714285714
0.25,0.0,0.25,0.5,2.0,3.25,1.25,0.75,0.75,0.5,0.0,4.5,1.0,1.0,0.0,3.0,0.0,2.5,0.0,1.25,0.5,0.0,1.25,0.0,2.5,0.0,0.0,3.5,0.5,0.25,3.0,0.25,0.0,0.0,1.5,4.5,3.5,0.25,0.5,0.0,0.25,0.0,0.75,0.25,0.5,4.5,0.75,0.0,9.5,0.25,0.0,0.0,0.25,5.0,1.25,0.25,0.25,0.0,0.75,3.25,5.5,2.25,4.25,2.5,0.25,0.0,0.75,1.5,1.25,2.5,0.25,5.0,0.0,0.5,1.0,0.25,0.0,1.0,0.5,0.25,0.25,1.75,0.0,2.25,0.0,0.0,0.75,0.0,1.25,0.0,0.5,2.0,0.5,1.0,2.5,1.5,0.0,1.0,2.25,3.0,1.25,2.25,2.25,2.5,0.25,1.0,0.0,0.75,0.75,0.5,3.75,0.75,0.5,2.5,1.0,1.25,2.0,1.0,1.75,1.5,0.25,2.0,0.25,1.25,0.75,1.0,0.25,0.0,1.75,1.25,0.25,2.0,0.0,1.25,1.25,2.25,0.5,0.5,0.25,0.5,0.5,1.75,0.5,0.25,2.25,0.0,2.0,0.0,0.25,10.0,14.0,22.5,7.75,2.5,2.25,1.25,2.25,9.25,6.0,11.5,1.25,1.25,1.25,6.0,1.0,3.25,2.25,0.0,1.0,2.75,2.75,0.5,1.5,1.0,0.0,2.0,0.0,0.25,0.25,0.5
0.25,0.25,3.0,0.0,0.6666666666666666,3.3333333333333335,2.3333333333333335,0.3333333333333333,0.0,1.0,0.0,6.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,3.3333333333333335,0.0,3.6666666666666665,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,6.0,0.3333333333333333,0.0,6.333333333333333,0.3333333333333333,0.0,3.6666666666666665,0.0,0.0,0.0,1.3333333333333333,6.666666666666667,1.6666666666666667,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,1.0,4.666666666666667,0.0,0.0,12.333333333333334,0.6666666666666666,0.0,0.0,0.0,2.3333333333333335,1.6666666666666667,1.0,0.3333333333333333,0.0,1.0,3.3333333333333335,2.3333333333333335,1.0,6.666666666666667,1.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,6.666666666666667,0.0,1.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.3333333333333333,3.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,1.6666666666666667,0.0,0.3333333333333333,3.0,0.0,0.6666666666666666,1.6666666666666667,2.0,0.0,0.6666666666666666,1.3333333333333333,2.3333333333333335,1.0,1.0,0.6666666666666666,6.0,2.0,2.3333333333333335,0.3333333333333333,0.3333333333333333,0.0,1.3333333333333333,2.0,0.3333333333333333,0.3333333333333333,1.0,1.3333333333333333,2.0,1.0,0.0,1.6666666666666667,1.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,1.6666666666666667,0.6666666666666666,0.3333333333333333,4.0,1.3333333333333333,1.0,1.0,3.6666666666666665,0.6666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,2.0,0.0,0.0,6.333333333333333,0.0,3.3333333333333335,0.3333333333333333,0.0,10.333333333333334,11.0,11.333333333333334,10.0,2.6666666666666665,4.0,1.0,2.3333333333333335,8.666666666666666,5.333333333333333,2.3333333333333335,4.333333333333333,0.6666666666666666,4.0,5.666666666666667,5.666666666666667,1.0,5.666666666666667,0.0,1.0,3.0,5.0,0.6666666666666666,0.0,0.6666666666666666,0.0,4.666666666666667,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
0.25,0.5,0.0,0.5,1.1666666666666667,3.6666666666666665,1.8333333333333333,0.5,0.0,1.1666666666666667,0.3333333333333333,5.5,0.8333333333333334,0.0,0.0,1.6666666666666667,0.0,0.5,0.16666666666666666,1.8333333333333333,0.0,0.5,0.0,0.0,4.166666666666667,0.0,0.0,0.5,0.3333333333333333,0.16666666666666666,2.3333333333333335,0.5,0.0,0.16666666666666666,1.3333333333333333,4.166666666666667,1.8333333333333333,0.16666666666666666,0.0,0.0,0.5,0.0,0.16666666666666666,0.16666666666666666,1.0,5.166666666666667,0.0,0.0,7.333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,2.5,2.1666666666666665,0.3333333333333333,0.0,0.0,0.6666666666666666,1.8333333333333333,2.6666666666666665,1.8333333333333333,6.0,1.0,1.1666666666666667,0.0,0.0,1.0,1.8333333333333333,1.1666666666666667,0.3333333333333333,6.0,0.0,0.5,0.5,1.0,0.16666666666666666,1.0,1.1666666666666667,0.0,0.5,1.3333333333333333,0.16666666666666666,1.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.8333333333333334,0.0,0.0,2.0,0.0,0.6666666666666666,1.0,1.6666666666666667,0.0,0.16666666666666666,1.0,0.6666666666666666,0.8333333333333334,3.3333333333333335,1.8333333333333333,2.8333333333333335,1.6666666666666667,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,3.1666666666666665,0.0,0.5,0.6666666666666666,0.16666666666666666,1.1666666666666667,1.5,0.6666666666666666,1.1666666666666667,0.8333333333333334,0.0,0.8333333333333334,0.0,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.16666666666666666,0.0,1.5,0.3333333333333333,0.16666666666666666,3.5,0.8333333333333334,1.0,0.6666666666666666,1.6666666666666667,1.6666666666666667,0.5,0.0,0.0,0.0,2.5,0.16666666666666666,0.0,0.8333333333333334,0.0,3.5,0.16666666666666666,0.0,8.833333333333334,10.166666666666666,18.166666666666668,10.666666666666666,2.3333333333333335,2.6666666666666665,0.5,3.3333333333333335,8.833333333333334,2.5,7.0,1.0,0.0,2.0,3.8333333333333335,2.0,1.3333333333333333,1.0,1.5,0.5,4.833333333333333,2.0,0.5,1.0,0.8333333333333334,0.0,2.8333333333333335,1.5,0.0,0.8333333333333334,1.0
0.25,1.0,0.21212121212121213,0.18181818181818182,1.3636363636363635,3.090909090909091,2.212121212121212,0.5757575757575758,0.18181818181818182,0.42424242424242425,0.0,4.363636363636363,0.45454545454545453,0.2727272727272727,0.06060606060606061,1.696969696969697,0.18181818181818182,0.8181818181818182,0.030303030303030304,2.121212121212121,0.15151515151515152,0.06060606060606061,0.30303030303030304,0.0,4.2727272727272725,0.3333333333333333,0.030303030303030304,1.9090909090909092,0.6060606060606061,0.15151515151515152,2.727272727272727,0.21212121212121213,0.030303030303030304,0.3333333333333333,0.5454545454545454,3.878787878787879,1.606060606060606,0.030303030303030304,0.24242424242424243,0.0,1.2727272727272727,0.0,0.12121212121212122,0.30303030303030304,0.5454545454545454,5.121212121212121,0.030303030303030304,0.030303030303030304,6.636363636363637,0.24242424242424243,0.3939393939393939,0.24242424242424243,0.24242424242424243,2.787878787878788,1.9090909090909092,1.8484848484848484,0.09090909090909091,0.24242424242424243,1.4242424242424243,2.242424242424242,4.424242424242424,2.393939393939394,6.212121212121212,0.8787878787878788,1.4242424242424243,0.0,0.2727272727272727,0.8181818181818182,2.1818181818181817,2.090909090909091,0.36363636363636365,5.454545454545454,0.21212121212121213,0.8787878787878788,0.6363636363636364,0.9090909090909091,0.0,0.9393939393939394,1.1515151515151516,0.12121212121212122,0.18181818181818182,0.48484848484848486,0.030303030303030304,0.7575757575757576,0.09090909090909091,0.0,0.09090909090909091,0.06060606060606061,1.4242424242424243,0.0,0.18181818181818182,2.909090909090909,0.5151515151515151,0.8181818181818182,1.4848484848484849,1.4848484848484849,0.0,0.8787878787878788,0.696969696969697,0.7272727272727273,0.6363636363636364,2.606060606060606,0.6666666666666666,2.0,2.3333333333333335,1.696969696969697,0.36363636363636365,0.5757575757575758,0.2727272727272727,0.21212121212121213,2.121212121212121,0.42424242424242425,0.30303030303030304,1.7878787878787878,0.5757575757575758,1.7272727272727273,0.9090909090909091,0.42424242424242425,1.3333333333333333,1.696969696969697,0.0,0.48484848484848486,0.030303030303030304,0.6060606060606061,0.6363636363636364,0.3939393939393939,0.24242424242424243,0.0,1.9696969696969697,0.24242424242424243,0.09090909090909091,2.272727272727273,0.7272727272727273,0.8484848484848485,0.8787878787878788,3.4545454545454546,0.6060606060606061,0.48484848484848486,0.8787878787878788,0.030303030303030304,0.06060606060606061,3.6666666666666665,0.24242424242424243,0.0,3.727272727272727,0.06060606060606061,3.0,0.2727272727272727,0.12121212121212122,9.424242424242424,11.333333333333334,14.06060606060606,8.606060606060606,2.5454545454545454,4.878787878787879,0.8787878787878788,2.9393939393939394,9.515151515151516,3.4242424242424243,4.909090909090909,3.0606060606060606,0.30303030303030304,2.5454545454545454,5.242424242424242,3.121212121212121,2.242424242424242,2.0606060606060606,0.3939393939393939,1.5454545454545454,2.606060606060606,2.303030303030303,1.4545454545454546,0.9696969696969697,1.6363636363636365,0.0,1.9393939393939394,0.3333333333333333,0.696969696969697,1.4242424242424243,0.21212121212121213
0.5,0.0,0.3333333333333333,0.3333333333333333,2.8333333333333335,4.222222222222222,3.0,0.2222222222222222,0.1111111111111111,1.2222222222222223,0.2777777777777778,6.166666666666667,0.8333333333333334,1.1666666666666667,0.05555555555555555,1.5,0.2222222222222222,1.9444444444444444,0.0,1.6666666666666667,0.05555555555555555,0.1111111111111111,0.4444444444444444,0.0,5.222222222222222,0.5555555555555556,0.2222222222222222,4.388888888888889,1.2222222222222223,0.16666666666666666,5.0,0.1111111111111111,0.05555555555555555,0.2222222222222222,0.3888888888888889,2.1666666666666665,0.8333333333333334,0.0,0.4444444444444444,0.05555555555555555,0.5555555555555556,0.05555555555555555,0.1111111111111111,0.2222222222222222,0.3888888888888889,4.666666666666667,0.3888888888888889,0.0,13.944444444444445,0.16666666666666666,0.5555555555555556,0.2222222222222222,0.16666666666666666,3.2777777777777777,3.388888888888889,3.5,0.05555555555555555,0.2222222222222222,1.8333333333333333,2.611111111111111,3.611111111111111,1.6111111111111112,7.777777777777778,2.0555555555555554,1.6666666666666667,0.0,0.6111111111111112,0.2777777777777778,3.0,1.8888888888888888,0.6666666666666666,8.61111111111111,0.2222222222222222,1.5,1.3888888888888888,0.3333333333333333,0.0,1.2222222222222223,2.3333333333333335,0.16666666666666666,0.1111111111111111,0.4444444444444444,0.05555555555555555,1.0555555555555556,0.0,0.16666666666666666,0.9444444444444444,0.0,1.1111111111111112,0.0,0.0,2.0,0.7222222222222222,0.9444444444444444,2.111111111111111,2.2222222222222223,0.0,0.8333333333333334,0.05555555555555555,0.7777777777777778,0.5555555555555556,1.9444444444444444,0.2777777777777778,5.388888888888889,2.388888888888889,1.2777777777777777,0.5555555555555556,0.2777777777777778,0.2777777777777778,0.5,0.7777777777777778,0.6666666666666666,0.7222222222222222,2.888888888888889,1.3888888888888888,2.7222222222222223,0.3333333333333333,0.2222222222222222,1.5555555555555556,1.6666666666666667,0.0,0.3333333333333333,0.05555555555555555,0.6666666666666666,1.5,0.3333333333333333,0.05555555555555555,0.0,2.7222222222222223,0.6111111111111112,0.16666666666666666,3.3333333333333335,1.9444444444444444,0.6111111111111112,1.8333333333333333,4.333333333333333,0.7222222222222222,0.1111111111111111,1.2222222222222223,0.6666666666666666,0.0,2.9444444444444446,0.16666666666666666,0.05555555555555555,4.333333333333333,0.0,3.9444444444444446,0.2777777777777778,0.1111111111111111,11.38888888888889,12.38888888888889,9.11111111111111,10.0,3.3333333333333335,8.61111111111111,0.6666666666666666,3.611111111111111,9.5,4.722222222222222,7.833333333333333,2.888888888888889,1.0555555555555556,1.3888888888888888,8.11111111111111,2.3333333333333335,2.7222222222222223,3.3333333333333335,0.3333333333333333,1.2777777777777777,2.388888888888889,3.5555555555555554,1.7222222222222223,0.5,1.7222222222222223,0.0,4.444444444444445,0.3333333333333333,0.7777777777777778,0.1111111111111111,0.4444444444444444
0.5,0.25,0.2857142857142857,0.14285714285714285,3.4285714285714284,1.7142857142857142,3.0,0.14285714285714285,0.0,0.7142857142857143,0.42857142857142855,4.714285714285714,0.7142857142857143,1.5714285714285714,0.0,1.8571428571428572,0.0,2.0,0.0,2.857142857142857,0.14285714285714285,0.14285714285714285,1.0,0.14285714285714285,7.0,0.5714285714285714,0.2857142857142857,4.857142857142857,1.0,0.14285714285714285,2.2857142857142856,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,1.5714285714285714,0.42857142857142855,0.0,0.2857142857142857,0.0,0.5714285714285714,0.0,0.14285714285714285,0.8571428571428571,0.7142857142857143,3.2857142857142856,0.42857142857142855,0.0,15.285714285714286,0.14285714285714285,1.2857142857142858,0.5714285714285714,0.2857142857142857,3.7142857142857144,2.5714285714285716,3.142857142857143,0.0,0.2857142857142857,0.8571428571428571,2.5714285714285716,4.428571428571429,2.2857142857142856,8.0,3.7142857142857144,2.7142857142857144,0.0,1.0,0.7142857142857143,3.2857142857142856,2.142857142857143,1.7142857142857142,10.142857142857142,0.2857142857142857,1.2857142857142858,1.8571428571428572,0.14285714285714285,0.0,1.8571428571428572,4.714285714285714,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.0,0.2857142857142857,0.0,0.14285714285714285,0.7142857142857143,0.0,1.5714285714285714,0.0,0.0,2.2857142857142856,1.0,1.1428571428571428,2.2857142857142856,2.142857142857143,0.0,1.4285714285714286,0.0,1.8571428571428572,0.5714285714285714,5.142857142857143,0.7142857142857143,3.7142857142857144,2.4285714285714284,1.2857142857142858,0.42857142857142855,0.0,0.8571428571428571,0.14285714285714285,1.0,1.2857142857142858,0.7142857142857143,2.142857142857143,1.7142857142857142,1.7142857142857142,0.14285714285714285,0.42857142857142855,1.8571428571428572,2.4285714285714284,0.0,0.2857142857142857,0.0,1.0,1.1428571428571428,0.14285714285714285,0.0,0.0,2.7142857142857144,0.42857142857142855,0.14285714285714285,4.142857142857143,1.4285714285714286,0.2857142857142857,2.0,4.571428571428571,1.5714285714285714,0.14285714285714285,0.8571428571428571,1.0,0.0,4.285714285714286,0.14285714285714285,0.0,5.285714285714286,0.0,4.714285714285714,0.0,0.42857142857142855,11.571428571428571,15.0,8.285714285714286,10.714285714285714,3.4285714285714284,7.0,1.0,3.857142857142857,9.714285714285714,4.428571428571429,10.714285714285714,6.428571428571429,1.5714285714285714,1.5714285714285714,9.428571428571429,2.0,3.142857142857143,2.5714285714285716,0.8571428571428571,1.4285714285714286,1.2857142857142858,3.142857142857143,2.4285714285714284,1.7142857142857142,1.0,0.0,2.2857142857142856,0.0,1.2857142857142858,0.5714285714285714,0.14285714285714285
